order_id,customer_id,order_date,revenue,items_count,used_coupon,returned,channel
O0000001,C000001,2023-08-30,24.5,3,0,0,web
O0000002,C000001,2023-09-01,46.28,1,0,0,app
O0000003,C000001,2024-04-14,40.32,1,0,0,web
O0000004,C000002,2023-02-15,23.47,1,0,0,store
O0000005,C000002,2024-02-01,18.37,6,0,0,app
O0000006,C000002,2025-01-07,27.6,1,0,0,web
O0000007,C000002,2025-06-18,11.0,3,1,1,app
O0000008,C000003,2023-02-16,14.52,6,0,0,web
O0000009,C000003,2024-01-15,74.84,6,1,0,store
O0000010,C000003,2024-06-16,51.82,5,1,0,web
O0000011,C000005,2023-02-01,20.5,6,0,0,web
O0000012,C000005,2023-10-27,14.46,2,0,0,web
O0000013,C000005,2024-08-18,42.83,5,1,0,app
O0000014,C000005,2024-08-24,31.94,2,1,0,store
O0000015,C000005,2025-06-05,21.57,4,1,0,web
O0000016,C000007,2023-06-15,15.23,4,0,0,web
O0000017,C000007,2023-07-19,16.86,6,0,0,app
O0000018,C000007,2023-08-02,16.56,4,1,0,store
O0000019,C000007,2024-12-07,24.93,6,0,0,store
O0000020,C000007,2025-05-02,44.06,2,0,0,app
O0000021,C000008,2023-11-10,10.23,5,0,0,web
O0000022,C000008,2023-11-30,24.12,4,0,0,web
O0000023,C000009,2024-02-10,22.07,1,0,0,app
O0000024,C000009,2024-05-22,34.02,5,0,0,web
O0000025,C000009,2024-06-27,12.6,3,1,0,store
O0000026,C000009,2024-07-30,68.3,4,1,0,web
O0000027,C000009,2025-06-09,43.72,1,0,0,web
O0000028,C000009,2025-07-19,39.8,1,1,0,app
O0000029,C000009,2025-08-30,17.04,6,0,1,store
O0000030,C000010,2023-02-15,21.17,1,0,1,web
O0000031,C000010,2023-06-08,36.63,1,0,0,store
O0000032,C000010,2023-11-08,23.56,3,0,0,web
O0000033,C000010,2024-04-10,31.0,5,1,0,store
O0000034,C000010,2024-08-01,13.55,6,0,0,web
O0000035,C000011,2023-03-18,34.18,4,0,0,web
O0000036,C000011,2023-04-20,12.3,3,0,0,web
O0000037,C000011,2023-09-02,18.78,2,1,0,web
O0000038,C000011,2023-10-23,27.37,6,1,0,web
O0000039,C000011,2024-03-25,15.58,3,1,0,web
O0000040,C000011,2024-04-18,21.11,1,0,0,web
O0000041,C000011,2025-02-08,18.24,1,0,1,web
O0000042,C000012,2023-07-05,20.4,5,1,0,app
O0000043,C000012,2023-10-01,54.63,4,1,0,web
O0000044,C000012,2023-12-18,8.78,5,0,0,web
O0000045,C000012,2024-02-20,19.81,3,0,0,app
O0000046,C000012,2024-11-16,31.58,6,0,0,web
O0000047,C000012,2024-11-24,12.21,1,0,0,store
O0000048,C000012,2025-07-09,17.17,1,0,0,store
O0000049,C000013,2024-02-04,16.27,6,0,0,app
O0000050,C000013,2025-06-07,25.17,6,0,0,app
